ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(1.77677e+08)","Runtime Improvement""""(1.70831e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,61.31,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,8.37,38.69,16," 1024,    1,    1","   32,    1,    1"
1,0.62,sortRowsKernelInt,sortRowsKernelInt(int..int),50.52,0.31,99.38,99.38,45," 1024,    1,    1","   32,    1,    1"
2,22.96,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.61,77.04,16,"   32,   32,    1","   32,   32,    1"
3,61.87,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,9.13,37.23,16," 1024,    1,    1","   32,    1,    1"
4,1.18,sortRowsKernelInt,sortRowsKernelInt(int..int),47.45,0.56,98.82,98.82,45," 1024,    1,    1","   32,    1,    1"
5,24.52,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,23.96,75.48,16,"   32,   32,    1","   32,   32,    1"
6,60.26,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,11.99,36.61,16," 1024,    1,    1","   32,    1,    1"
7,3.69,sortRowsKernelInt,sortRowsKernelInt(int..int),14.30,0.53,96.31,96.31,45," 1024,    1,    1","   32,    1,    1"
8,25.74,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.77,74.26,16,"   32,   32,    1","   32,   32,    1"
9,59.13,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,12.71,37.35,16," 1024,    1,    1","   32,    1,    1"
10,2.53,sortRowsKernelInt,sortRowsKernelInt(int..int),13.03,0.33,97.47,97.47,45," 1024,    1,    1","   32,    1,    1"
11,25.17,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,25.39,74.83,16,"   32,   32,    1","   32,   32,    1"
12,57.62,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,12.55,37.50,16," 1024,    1,    1","   32,    1,    1"
13,6.79,sortRowsKernelInt,sortRowsKernelInt(int..int),6.72,0.46,93.21,93.21,45," 1024,    1,    1","   32,    1,    1"
14,25.82,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.03,25.16,74.18,16,"   32,   32,    1","   32,   32,    1"
15,58.68,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,13.93,41.32,16," 1024,    1,    1","   32,    1,    1"
16,9.62,sortRowsKernelInt,sortRowsKernelInt(int..int),5.36,0.52,90.38,90.38,45," 1024,    1,    1","   32,    1,    1"
17,23.35,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.63,76.65,16,"   32,   32,    1","   32,   32,    1"
18,59.24,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.03,0.02,12.99,37.07,16," 1024,    1,    1","   32,    1,    1"
19,19.08,sortRowsKernelInt,sortRowsKernelInt(int..int),3.65,0.70,80.92,80.92,45," 1024,    1,    1","   32,    1,    1"
20,26.00,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.03,24.71,74.00,16,"   32,   32,    1","   32,   32,    1"
